session_id,user_id,start_time,duration_seconds,device_type,os,referrer,conversion_status
sess_ca2374c7b9,user_000133,2025-01-15T11:46:49,424,desktop,Windows,instagram,converted
sess_899e0a0965,user_000110,2025-03-22T00:15:58,1219,tablet,iPadOS,sms_campaign,converted
sess_38ab91c6c3,user_000305,2025-01-25T21:02:56,359,mobile,iOS,facebook,abandoned
sess_facd3b3fa8,user_000133,2025-01-12T08:15:42,1343,mobile,iOS,whatsapp,browsing
sess_23854197cc,user_000117,2025-01-18T18:45:00,206,desktop,macOS,direct,abandoned
sess_ee8ecd0233,user_000191,2025-02-27T07:35:18,494,desktop,Windows,sms_campaign,abandoned
sess_0ea0c48080,user_000036,2025-02-23T02:57:59,2526,desktop,Windows,whatsapp,abandoned
sess_cde8758e4f,user_000387,2025-02-11T00:34:51,3381,desktop,Linux,sms_campaign,converted
sess_81e52bc2b3,user_000368,2025-02-25T04:39:00,3389,desktop,macOS,whatsapp,browsing
sess_271bad42a1,user_000202,2025-01-12T07:52:48,114,mobile,Android,direct,converted
sess_65bed60afe,user_000010,2025-03-25T11:28:15,1901,tablet,iPadOS,instagram,browsing
sess_55894d9f5b,user_000009,2025-02-10T23:20:30,2420,desktop,Linux,word_of_mouth,abandoned
sess_b7b9e62136,user_000481,2025-03-07T08:27:13,2732,tablet,Android,instagram,converted
sess_2c66474d03,user_000116,2025-01-12T17:13:24,2361,mobile,Android,facebook,browsing
sess_251bc39393,user_000322,2025-01-12T11:05:53,901,desktop,Windows,facebook,converted
sess_17bbd5731f,user_000385,2025-03-15T03:47:56,2229,desktop,Windows,sms_campaign,abandoned
sess_e47db138b7,user_000358,2025-02-23T18:00:20,1306,tablet,Android,instagram,converted
sess_08919b48e3,user_000174,2025-03-15T12:02:44,2663,mobile,iOS,facebook,abandoned
sess_6072662e0c,user_000364,2025-02-11T07:56:04,3453,desktop,Windows,sms_campaign,abandoned
sess_cddf28adb9,user_000498,2025-02-10T11:29:58,3434,mobile,iOS,whatsapp,abandoned
sess_7464b25ed0,user_000267,2025-01-15T21:13:31,542,desktop,macOS,word_of_mouth,converted
sess_ff2b6f1311,user_000070,2025-02-19T00:11:06,2666,desktop,macOS,instagram,browsing
sess_d684d1d534,user_000267,2025-01-19T09:19:27,3134,desktop,Linux,direct,converted
sess_31e03b9bfb,user_000012,2025-03-25T11:07:33,2222,desktop,macOS,facebook,converted
sess_f4f15ad9ef,user_000013,2025-03-11T06:06:39,299,desktop,macOS,direct,abandoned
sess_ff2ec8ea56,user_000324,2025-01-23T16:39:17,136,desktop,Linux,sms_campaign,abandoned
sess_caeaedda34,user_000062,2025-03-22T15:12:03,632,tablet,Android,direct,browsing
sess_276c0f9ecc,user_000284,2025-03-28T22:07:33,2912,tablet,Android,facebook,abandoned
sess_5cf2e89ce1,user_000252,2025-02-05T05:50:57,210,desktop,macOS,sms_campaign,converted
sess_e0f4a67256,user_000265,2025-02-15T07:13:33,2089,desktop,Linux,whatsapp,abandoned
sess_d82ec7563b,user_000469,2025-01-25T06:30:19,866,mobile,Android,instagram,converted
sess_9756486f87,user_000406,2025-01-23T23:39:09,358,tablet,Android,whatsapp,converted
sess_930495c953,user_000052,2025-03-07T18:50:22,288,tablet,iPadOS,direct,converted
sess_a83b7c248b,user_000371,2025-03-02T06:41:14,1881,mobile,iOS,google_search,browsing
sess_a1e124c0cb,user_000308,2025-02-03T07:00:56,1252,desktop,Windows,facebook,abandoned
sess_7c815a02f7,user_000246,2025-03-13T07:42:35,3207,desktop,Linux,sms_campaign,abandoned
sess_59f1ec1044,user_000089,2025-02-02T23:49:55,3531,tablet,iPadOS,whatsapp,abandoned
sess_c9fb002567,user_000073,2025-03-27T16:53:38,595,mobile,iOS,instagram,converted
sess_c58f26715a,user_000355,2025-02-16T22:09:49,2991,desktop,macOS,google_search,abandoned
sess_d35deb1ef3,user_000139,2025-02-07T02:59:19,161,mobile,Android,word_of_mouth,abandoned
sess_b002537152,user_000385,2025-03-11T12:49:58,3090,tablet,Android,facebook,abandoned
sess_e6cf286889,user_000224,2025-02-13T16:30:38,3553,tablet,iPadOS,whatsapp,abandoned
sess_a10601cdd3,user_000273,2025-02-07T12:27:22,831,desktop,Windows,facebook,abandoned
sess_c6d5ec88ed,user_000274,2025-02-10T14:58:24,2018,tablet,iPadOS,facebook,browsing
sess_c1a9900c89,user_000228,2025-01-07T05:03:39,3437,desktop,Linux,direct,abandoned
sess_5c714a526a,user_000357,2025-01-05T05:44:44,1041,mobile,Android,direct,abandoned
sess_fc308bb10d,user_000236,2025-01-07T15:00:14,398,tablet,iPadOS,direct,converted
sess_c57569a826,user_000026,2025-02-28T01:55:10,79,mobile,Android,word_of_mouth,converted
sess_155d3b3a34,user_000167,2025-02-01T07:53:52,2362,tablet,iPadOS,facebook,converted
sess_1f7fec4328,user_000210,2025-01-30T06:37:32,3203,tablet,Android,facebook,abandoned
sess_00a3d387dc,user_000077,2025-02-06T11:33:22,897,tablet,iPadOS,facebook,abandoned
sess_3feb905cc1,user_000259,2025-01-08T14:08:11,1805,tablet,Android,direct,browsing
sess_b031b9be2c,user_000193,2025-01-17T06:55:23,1988,desktop,macOS,direct,converted
sess_d15b5efd87,user_000496,2025-03-14T01:26:14,1588,desktop,macOS,sms_campaign,browsing
sess_e20d66e4e9,user_000075,2025-01-25T16:32:02,1073,tablet,iPadOS,google_search,browsing
sess_5fe673097a,user_000354,2025-01-30T08:13:21,2110,tablet,Android,google_search,converted
sess_6239af285e,user_000095,2025-03-10T08:32:55,610,mobile,Android,whatsapp,browsing
sess_e92ee02d8e,user_000031,2025-01-26T20:00:47,3139,mobile,iOS,google_search,browsing
sess_3b7dee10f5,user_000418,2025-01-24T06:18:05,1539,tablet,Android,google_search,converted
sess_ce9b5db010,user_000219,2025-02-16T05:26:40,2756,tablet,iPadOS,word_of_mouth,browsing
sess_4876f33a1c,user_000483,2025-03-06T01:19:03,2926,mobile,iOS,facebook,abandoned
sess_bbc15b55ce,user_000436,2025-01-31T10:12:37,1617,tablet,iPadOS,word_of_mouth,abandoned
sess_47f0f5dcd8,user_000112,2025-02-18T12:41:40,2845,desktop,Windows,whatsapp,converted
sess_4ea8a5f547,user_000280,2025-02-08T02:05:29,1442,desktop,Linux,direct,browsing
sess_dd8159da36,user_000356,2025-02-16T20:10:14,1252,mobile,iOS,google_search,converted
sess_46a8045911,user_000005,2025-01-12T15:37:16,537,mobile,iOS,facebook,converted
sess_10b6e2b468,user_000294,2025-01-21T00:33:01,2733,mobile,iOS,facebook,abandoned
sess_36c86ad887,user_000018,2025-01-19T06:14:36,640,desktop,Windows,direct,browsing
sess_a1fcaee17b,user_000420,2025-01-15T21:39:39,1355,desktop,macOS,sms_campaign,browsing
sess_49c7d64034,user_000292,2025-03-26T00:31:27,1215,tablet,Android,facebook,converted
sess_2d1994050e,user_000193,2025-02-25T02:30:44,3072,desktop,Windows,whatsapp,browsing
sess_fc709f683c,user_000380,2025-01-28T18:04:50,2329,desktop,Windows,google_search,abandoned
sess_df75edc52a,user_000467,2025-03-07T22:19:54,1083,tablet,iPadOS,whatsapp,converted
sess_fe0106bae7,user_000051,2025-02-11T19:50:44,2075,mobile,iOS,whatsapp,browsing
sess_cdb3039af8,user_000097,2025-01-28T15:51:52,224,mobile,Android,facebook,converted
sess_bd9f6f0513,user_000316,2025-01-15T19:20:26,3047,tablet,iPadOS,direct,browsing
sess_f18d37385e,user_000019,2025-01-27T14:08:37,847,mobile,Android,direct,converted
sess_835727e1f0,user_000094,2025-01-25T11:48:55,2072,desktop,macOS,facebook,abandoned
sess_94dfe28563,user_000322,2025-03-14T02:21:14,2525,mobile,iOS,facebook,abandoned
sess_2e10c8b841,user_000224,2025-03-14T21:19:21,2146,desktop,Linux,google_search,converted
sess_8eb528e0a9,user_000447,2025-03-18T18:16:52,271,tablet,iPadOS,sms_campaign,browsing
sess_cbd79e5a52,user_000417,2025-01-02T00:15:10,3434,desktop,Windows,facebook,converted
sess_fe25ab4e9d,user_000417,2025-03-25T17:25:34,781,mobile,Android,whatsapp,abandoned
sess_8b09ab3658,user_000056,2025-03-22T06:01:46,115,tablet,iPadOS,word_of_mouth,browsing
sess_e63b15e685,user_000083,2025-01-30T20:15:32,1418,desktop,Windows,facebook,converted
sess_a8e7372bc6,user_000180,2025-03-05T15:06:36,1234,mobile,Android,whatsapp,abandoned
sess_157413783a,user_000295,2025-02-11T12:02:16,3036,desktop,Windows,facebook,abandoned
sess_ad9da98144,user_000435,2025-01-02T15:58:23,1544,tablet,Android,direct,abandoned
sess_38e4d10edb,user_000375,2025-01-03T13:23:33,2911,desktop,macOS,whatsapp,browsing
sess_8f2a0e7bc8,user_000451,2025-03-04T09:01:37,191,tablet,iPadOS,facebook,abandoned
sess_6620174517,user_000200,2025-01-18T20:02:15,3428,tablet,iPadOS,instagram,browsing
sess_a13dc7aef5,user_000289,2025-01-05T08:33:54,2369,desktop,Windows,sms_campaign,abandoned
sess_581bfca6d6,user_000237,2025-01-08T15:30:26,2623,mobile,iOS,whatsapp,abandoned
sess_63fa70e516,user_000412,2025-01-02T10:49:00,644,desktop,Linux,google_search,converted
sess_f83364b068,user_000390,2025-03-27T02:45:39,1870,tablet,iPadOS,sms_campaign,converted
sess_01aa6d6d90,user_000047,2025-02-03T21:05:03,1968,desktop,Linux,facebook,converted
sess_a3256c822e,user_000027,2025-01-21T12:48:50,153,tablet,Android,direct,converted
sess_f50ed6b589,user_000243,2025-02-21T23:49:12,2881,mobile,Android,direct,browsing
sess_9c4ce4ed0a,user_000356,2025-02-23T00:28:23,3231,mobile,Android,instagram,abandoned
sess_f9e9695abb,user_000223,2025-02-07T01:06:25,1227,tablet,Android,instagram,browsing
sess_6a984ddf11,user_000195,2025-01-12T02:48:24,861,desktop,Windows,facebook,converted
sess_cd3e796952,user_000315,2025-03-04T13:38:27,1671,mobile,Android,sms_campaign,browsing
sess_da60361fa3,user_000323,2025-03-17T11:54:55,1526,mobile,iOS,google_search,converted
sess_65f54cda64,user_000458,2025-01-18T12:53:34,440,mobile,Android,facebook,abandoned
sess_331cf515b3,user_000267,2025-03-14T00:16:43,1102,mobile,iOS,google_search,converted
sess_02017e804a,user_000140,2025-02-16T18:09:02,876,mobile,Android,instagram,abandoned
sess_c4bc993b19,user_000209,2025-01-29T11:50:34,2533,tablet,Android,sms_campaign,converted
sess_867c68e51d,user_000168,2025-01-21T18:07:33,1966,tablet,Android,google_search,browsing
sess_f390629a18,user_000416,2025-02-01T01:56:13,871,mobile,iOS,instagram,converted
sess_521224a55d,user_000396,2025-01-31T09:44:59,2082,tablet,iPadOS,whatsapp,converted
sess_c79c2fa951,user_000024,2025-01-30T13:02:50,367,desktop,macOS,whatsapp,converted
sess_23897f2c6e,user_000497,2025-02-18T00:30:53,306,mobile,iOS,word_of_mouth,browsing
sess_f51b61b3b6,user_000258,2025-01-11T06:12:24,592,mobile,Android,facebook,abandoned
sess_7df8073ee8,user_000203,2025-02-18T18:11:18,1824,tablet,Android,whatsapp,browsing
sess_5814c35d04,user_000294,2025-01-26T20:14:24,1037,mobile,iOS,facebook,converted
sess_065fa88f4c,user_000161,2025-03-08T03:52:33,344,mobile,iOS,word_of_mouth,converted
sess_009113fd6d,user_000376,2025-02-02T14:11:05,1913,desktop,Linux,google_search,converted
sess_0736711be5,user_000200,2025-02-27T04:48:50,1769,desktop,macOS,instagram,abandoned
sess_d254e61581,user_000494,2025-01-29T03:14:25,2615,tablet,iPadOS,facebook,abandoned
sess_6d34b81458,user_000415,2025-03-07T21:01:12,2669,desktop,macOS,google_search,browsing
sess_1e9a45e4ec,user_000069,2025-02-10T10:04:40,2330,mobile,Android,direct,abandoned
sess_f46e34853d,user_000215,2025-02-09T19:58:18,1949,mobile,iOS,word_of_mouth,browsing
sess_55128f613a,user_000332,2025-01-11T09:26:31,1425,tablet,iPadOS,whatsapp,converted
sess_598fcc4494,user_000034,2025-01-01T00:04:59,686,tablet,iPadOS,word_of_mouth,abandoned
sess_b3d1084130,user_000313,2025-03-08T03:35:30,1858,tablet,iPadOS,word_of_mouth,abandoned
sess_976de120ea,user_000217,2025-01-15T09:15:10,174,desktop,macOS,google_search,browsing
sess_152571fe1d,user_000401,2025-03-16T01:00:16,2756,desktop,macOS,instagram,converted
sess_ade866399e,user_000323,2025-03-23T14:55:29,180,mobile,Android,word_of_mouth,abandoned
sess_cecdae826f,user_000034,2025-02-12T14:39:36,1811,tablet,Android,word_of_mouth,converted
sess_893e2946eb,user_000128,2025-02-07T21:45:34,2940,desktop,Windows,sms_campaign,browsing
sess_b2febeae7b,user_000015,2025-01-04T03:12:20,1444,desktop,macOS,direct,abandoned
sess_439be0c180,user_000259,2025-01-22T20:51:32,2723,desktop,macOS,facebook,abandoned
sess_d57b0a2e0a,user_000118,2025-01-09T22:21:14,2470,mobile,iOS,word_of_mouth,converted
sess_aa89593cb3,user_000334,2025-01-24T17:02:26,2217,desktop,macOS,direct,converted
sess_14f25406d4,user_000227,2025-01-05T07:29:44,979,mobile,Android,word_of_mouth,abandoned
sess_9e4cb67996,user_000277,2025-01-29T17:19:19,1442,tablet,Android,facebook,abandoned
sess_8486e79d3c,user_000446,2025-03-01T23:55:34,2746,mobile,iOS,google_search,browsing
sess_902980b5f3,user_000073,2025-01-03T09:32:33,1397,tablet,Android,sms_campaign,browsing
sess_504680b5e4,user_000371,2025-01-15T13:41:57,1620,tablet,iPadOS,word_of_mouth,browsing
sess_00c733ae7c,user_000294,2025-01-29T10:53:29,1059,desktop,Windows,instagram,browsing
sess_c476ba3954,user_000125,2025-03-17T09:15:20,1729,tablet,iPadOS,word_of_mouth,converted
sess_66479889e8,user_000220,2025-01-03T07:45:51,2886,mobile,iOS,instagram,browsing
sess_83772ca11d,user_000303,2025-02-05T21:52:07,2820,tablet,Android,instagram,abandoned
sess_f937e505d0,user_000450,2025-03-01T18:09:59,1347,mobile,Android,google_search,converted
sess_e7d31a4495,user_000104,2025-01-28T08:43:44,2399,desktop,Linux,sms_campaign,browsing
sess_fcc6ae3b25,user_000406,2025-02-20T14:42:34,1360,mobile,iOS,google_search,converted
sess_562e5b776f,user_000342,2025-02-17T02:16:17,2067,tablet,Android,instagram,abandoned
sess_4f4ba706b3,user_000110,2025-03-28T09:24:32,3545,desktop,Windows,sms_campaign,abandoned
sess_b79c26d896,user_000010,2025-03-19T21:45:27,1613,mobile,Android,whatsapp,abandoned
sess_6424a6ffa9,user_000080,2025-01-28T11:38:48,1294,mobile,iOS,direct,abandoned
sess_a4f7e2fdbd,user_000287,2025-01-28T01:05:13,2039,desktop,Linux,google_search,converted
sess_0291ae4c20,user_000210,2025-01-31T05:44:33,3093,desktop,Windows,word_of_mouth,abandoned
sess_2329822aab,user_000497,2025-01-12T00:51:27,219,desktop,macOS,direct,abandoned
sess_22798f65d2,user_000034,2025-01-01T13:03:16,1337,tablet,iPadOS,facebook,browsing
sess_9dad276aec,user_000408,2025-02-20T17:05:19,2465,tablet,Android,instagram,abandoned
sess_6f8a3a6068,user_000040,2025-03-27T18:12:16,2539,mobile,iOS,direct,browsing
sess_cf7d06a6ba,user_000191,2025-01-18T09:06:47,3122,mobile,iOS,direct,abandoned
sess_c90658a151,user_000088,2025-02-15T23:12:53,3131,tablet,iPadOS,whatsapp,converted
sess_7fb8d82651,user_000098,2025-03-22T02:30:00,3178,tablet,iPadOS,word_of_mouth,converted
sess_bafa3c2d22,user_000086,2025-03-18T13:53:22,102,mobile,Android,sms_campaign,browsing
sess_e176534c3c,user_000146,2025-01-18T06:46:46,1202,mobile,Android,facebook,abandoned
sess_bd1a9af2eb,user_000175,2025-03-09T22:18:41,2123,tablet,Android,instagram,abandoned
sess_802c872ea3,user_000294,2025-03-09T10:17:55,1841,tablet,Android,facebook,converted
sess_3caf725a0a,user_000339,2025-02-02T08:17:20,3289,mobile,iOS,whatsapp,abandoned
sess_125704c73c,user_000244,2025-01-16T11:15:55,1471,mobile,Android,google_search,abandoned
sess_a168f681d4,user_000222,2025-01-10T00:21:25,1450,desktop,Linux,google_search,converted
sess_fbb2e7f223,user_000217,2025-01-26T02:41:45,3099,tablet,iPadOS,google_search,abandoned
sess_cf7279d0f0,user_000217,2025-02-02T18:20:34,2824,desktop,Windows,google_search,converted
sess_e29f302e0c,user_000497,2025-02-14T11:17:21,2882,tablet,iPadOS,instagram,abandoned
sess_1c332bc73f,user_000204,2025-03-30T07:51:46,802,tablet,Android,instagram,abandoned
sess_00943ef3c0,user_000147,2025-03-12T16:44:42,2976,tablet,Android,sms_campaign,browsing
sess_4b8da294cf,user_000249,2025-02-24T11:59:01,1474,mobile,iOS,google_search,abandoned
sess_7e3138fe93,user_000384,2025-01-22T03:24:01,1772,tablet,Android,sms_campaign,abandoned
sess_d23adcb258,user_000014,2025-03-02T02:05:07,978,mobile,iOS,facebook,abandoned
sess_3ab990c321,user_000407,2025-01-18T04:09:19,1949,tablet,iPadOS,word_of_mouth,abandoned
sess_92d53b704d,user_000422,2025-02-26T07:03:35,3146,mobile,iOS,instagram,abandoned
sess_c47f0cb718,user_000185,2025-03-11T07:16:54,1252,desktop,Linux,google_search,browsing
sess_6fb8f45f5b,user_000329,2025-01-16T03:13:09,2464,tablet,Android,word_of_mouth,converted
sess_3f10d9b7e1,user_000382,2025-03-24T02:43:51,3414,tablet,iPadOS,instagram,converted
sess_c0994c6076,user_000142,2025-01-09T20:52:56,3103,mobile,iOS,instagram,abandoned
sess_cc880aefa8,user_000249,2025-01-30T02:57:34,2391,mobile,Android,google_search,converted
sess_42e19d3fe4,user_000444,2025-02-21T16:05:33,1079,desktop,macOS,facebook,converted
sess_5c22455ed8,user_000392,2025-02-08T11:18:21,3278,mobile,iOS,whatsapp,converted
sess_9994d1fdd6,user_000164,2025-02-11T12:08:36,3299,desktop,macOS,instagram,abandoned
sess_51aa28d78f,user_000153,2025-02-25T17:43:20,879,tablet,iPadOS,sms_campaign,browsing
sess_63b5e4d82c,user_000452,2025-01-21T20:33:00,814,desktop,macOS,instagram,converted
sess_3c9273a7ad,user_000081,2025-03-19T12:51:06,2163,mobile,Android,facebook,converted
sess_783d188c59,user_000157,2025-01-18T15:07:39,473,mobile,iOS,word_of_mouth,abandoned
sess_88289c82cb,user_000380,2025-03-24T22:24:09,3090,mobile,Android,word_of_mouth,browsing
sess_b00cd39e3d,user_000259,2025-02-04T22:31:51,2017,desktop,Linux,word_of_mouth,converted
sess_7b801dfbf3,user_000019,2025-01-06T22:33:47,2502,mobile,Android,whatsapp,abandoned
sess_ea54e98f9a,user_000178,2025-03-29T02:36:04,972,mobile,Android,direct,converted
sess_239674857e,user_000252,2025-03-14T16:38:29,3464,tablet,iPadOS,google_search,converted
sess_6b6ef25cd3,user_000216,2025-02-06T09:16:44,2768,mobile,iOS,google_search,abandoned
sess_499d12942f,user_000174,2025-03-20T08:25:10,2056,tablet,Android,google_search,abandoned
sess_d215bf3b06,user_000231,2025-02-12T08:20:09,2326,mobile,iOS,direct,converted
sess_d146d01044,user_000239,2025-02-01T06:07:51,617,tablet,Android,direct,converted
sess_5044bc34e0,user_000302,2025-01-19T18:35:16,1078,desktop,Windows,google_search,browsing
sess_9e48b4e6c2,user_000420,2025-01-13T02:57:19,2276,tablet,Android,facebook,converted
sess_e43a255c25,user_000445,2025-03-24T12:33:46,2783,desktop,Linux,instagram,converted
sess_22b46c2638,user_000429,2025-03-19T01:13:19,2692,mobile,iOS,whatsapp,abandoned
sess_3ae44d2005,user_000149,2025-02-10T00:21:53,3344,mobile,Android,word_of_mouth,browsing
sess_79bfbb0a42,user_000045,2025-02-02T09:43:29,1500,tablet,iPadOS,direct,abandoned
sess_8f71d08501,user_000316,2025-03-09T12:56:58,371,mobile,iOS,word_of_mouth,converted
sess_a6b5f2f55d,user_000224,2025-02-10T05:54:54,2338,tablet,iPadOS,instagram,abandoned
sess_cfe07a4f31,user_000160,2025-01-11T04:13:10,3366,tablet,iPadOS,whatsapp,browsing
sess_3ce4e590b8,user_000349,2025-02-04T09:50:25,327,tablet,Android,sms_campaign,abandoned
sess_5513029db6,user_000386,2025-02-04T19:00:53,2466,mobile,iOS,sms_campaign,browsing
sess_cc1b2a4930,user_000061,2025-02-02T05:07:37,424,mobile,Android,sms_campaign,browsing
sess_b597d50a6c,user_000191,2025-01-10T06:30:30,750,mobile,iOS,google_search,converted
sess_f968f3af53,user_000055,2025-02-03T21:21:17,2857,mobile,iOS,sms_campaign,browsing
sess_8f63e3c0ff,user_000283,2025-01-07T08:32:28,1445,mobile,Android,google_search,browsing
sess_c08ce4644a,user_000164,2025-01-14T03:40:52,1894,mobile,Android,instagram,converted
sess_6b90dabcb4,user_000026,2025-03-21T23:28:03,3440,tablet,Android,sms_campaign,converted
sess_33febb59f9,user_000292,2025-03-10T22:49:18,3597,tablet,Android,google_search,browsing
sess_5f07e62ea1,user_000274,2025-01-28T19:27:04,1226,tablet,Android,word_of_mouth,converted
sess_646ce60778,user_000355,2025-03-20T07:04:09,336,mobile,Android,instagram,abandoned
sess_2b7f9c41a7,user_000032,2025-01-22T20:50:13,813,tablet,iPadOS,instagram,abandoned
sess_383409b0bd,user_000330,2025-02-07T11:34:21,1216,tablet,Android,facebook,converted
sess_e7bafe1404,user_000370,2025-02-21T10:50:31,903,mobile,iOS,google_search,abandoned
sess_35cd46d721,user_000282,2025-03-28T09:40:29,701,tablet,Android,facebook,abandoned
sess_59bbd01b2e,user_000380,2025-01-15T14:55:48,932,desktop,Windows,direct,browsing
sess_a78a6280f5,user_000049,2025-03-15T08:50:48,221,mobile,Android,sms_campaign,browsing
sess_1e966a5c86,user_000164,2025-01-29T09:13:25,2973,mobile,Android,sms_campaign,abandoned
sess_9b46e09db4,user_000293,2025-01-02T20:46:03,1299,desktop,Windows,word_of_mouth,abandoned
sess_f2369de9f8,user_000390,2025-01-11T09:26:37,1055,mobile,iOS,whatsapp,converted
sess_e7e0c032f9,user_000360,2025-01-14T11:13:45,877,tablet,iPadOS,instagram,converted
sess_31b065c65b,user_000361,2025-01-19T01:33:45,1981,desktop,Linux,word_of_mouth,browsing
sess_f3460e648a,user_000176,2025-03-13T09:42:24,1046,tablet,iPadOS,google_search,abandoned
sess_df3df7e988,user_000472,2025-03-19T07:24:02,3527,desktop,macOS,facebook,converted
sess_a960f31301,user_000155,2025-03-22T13:31:23,3557,tablet,Android,google_search,abandoned
sess_c1a79d29a3,user_000322,2025-01-31T03:46:41,2861,tablet,Android,direct,browsing
sess_fa5b29d871,user_000189,2025-02-10T11:40:54,1068,mobile,Android,instagram,converted
sess_789e63babd,user_000164,2025-01-08T21:27:38,2227,desktop,macOS,whatsapp,abandoned
sess_43fd4faf01,user_000014,2025-03-05T06:25:10,2697,desktop,Windows,instagram,abandoned
sess_e35b84d373,user_000013,2025-03-03T01:25:14,1838,tablet,Android,google_search,abandoned
sess_b33407fd79,user_000173,2025-01-08T21:06:48,1750,desktop,Windows,whatsapp,abandoned
sess_b9a322b901,user_000261,2025-03-16T07:49:47,1246,desktop,Windows,direct,browsing
sess_0e1efd3daa,user_000061,2025-03-05T03:41:16,1228,desktop,Windows,facebook,browsing
sess_4a2196951e,user_000424,2025-01-18T13:34:19,3584,desktop,Windows,direct,browsing
sess_361e6da9ea,user_000334,2025-01-03T04:10:58,1278,mobile,iOS,facebook,converted
sess_7b1f9cb14a,user_000033,2025-02-08T14:19:58,2837,desktop,Windows,instagram,converted
sess_180e82de28,user_000083,2025-02-06T05:46:34,2757,desktop,Linux,word_of_mouth,abandoned
sess_1789ecd52b,user_000408,2025-02-25T16:48:02,631,mobile,Android,sms_campaign,browsing
sess_48b75a3cef,user_000208,2025-03-08T18:41:32,3138,mobile,iOS,direct,browsing
sess_1533fc34dd,user_000483,2025-02-04T17:04:07,2769,desktop,Windows,whatsapp,browsing
sess_c275180362,user_000492,2025-02-17T07:50:13,3169,mobile,Android,sms_campaign,browsing
sess_2e1c69418e,user_000289,2025-02-07T16:31:13,3342,tablet,iPadOS,direct,converted
sess_251f047696,user_000254,2025-02-05T14:24:58,3313,tablet,Android,direct,browsing
sess_4df8a021a1,user_000034,2025-03-18T16:49:44,2748,mobile,Android,word_of_mouth,abandoned
sess_232f8bad58,user_000389,2025-01-07T14:26:15,2016,tablet,iPadOS,facebook,abandoned
sess_a7a792a3fc,user_000306,2025-02-20T14:37:13,1238,desktop,Windows,facebook,abandoned
sess_c4f25de0fd,user_000289,2025-01-19T13:41:00,1487,desktop,Windows,instagram,browsing
sess_43b0b1d66d,user_000266,2025-01-17T20:05:15,540,tablet,Android,google_search,browsing
sess_5e7d4b07e9,user_000063,2025-02-06T13:27:11,3390,tablet,Android,direct,browsing
sess_ccd5b66f1d,user_000321,2025-02-17T12:45:23,2498,mobile,Android,instagram,converted
sess_343f3a25f5,user_000181,2025-03-23T15:07:53,1028,mobile,iOS,direct,converted
sess_4f4b768ebd,user_000364,2025-02-13T02:54:18,1872,mobile,Android,whatsapp,converted
sess_f7b5a6dab8,user_000351,2025-02-24T16:36:19,1059,tablet,iPadOS,direct,abandoned
